codigo,codCliente,descricao,alerta
1313,100939,Revenda eGestor 4 - Plano Avançado,Diferença Valor (99.8%)
1314,100939,Revenda eGestor 4 - Plano Avançado,Diferença Valor (99.8%)
1315,100940,eGestor 4 - Plano Avançado,Diferença Valor (56.0%)
1318,100944,eGestor 4 - Plano Bronze,Diferença Valor (42.7%)
1321,100946,eGestor 4 - Plano Padrão,Diferença Valor (38.7%)
1322,100931,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente | Diferença Valor (30.7%)
1323,100931,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente | Diferença Valor (30.7%)
1324,100931,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente | Diferença Valor (30.7%)
1325,100931,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente | Diferença Valor (30.7%)
1326,100948,eGestor 4 - Plano Avançado,Diferença Valor (30.0%)
1329,100948,Site Institucional,Diferença Valor (87.5%)
1333,100951,NFeMais - Plano Básico,URL Contrato Ausente
1355,100963,NFeMais - Plano Básico,URL Contrato Ausente
1359,100965,eGestor 4 - Plano Avançado,Diferença Valor (40.0%)
1365,100969,NFeMais - Plano Básico,URL Contrato Ausente
1369,100971,eGestor 4 - Plano Avançado,Diferença Valor (30.0%)
1370,100972,NFeMais - Plano Básico,URL Contrato Ausente
1372,100974,eGestor 4 - Plano Bronze,URL Contrato Ausente
1373,100974,Site Institucional,URL Contrato Ausente
1375,100976,NFeMais - Plano Básico,URL Contrato Ausente
1379,100950,Revenda Site - Parceiro,Diferença Valor (53.3%)
1381,100979,eGestor 4 - Plano Avançado,URL Contrato Ausente
1382,100980,NFeMais - Plano Ilimitado,URL Contrato Ausente
1383,100981,NFeMais - Plano Básico,URL Contrato Ausente
1384,100982,eGestor 4 - Plano Avançado,URL Contrato Ausente
1387,100985,Revenda eGestor 4 - Plano Avançado,Diferença Valor (80.0%)
1388,100985,Revenda eGestor 4 - Plano Avançado,Diferença Valor (80.0%)
1389,100985,Revenda eGestor 4 - Plano Avançado,Diferença Valor (80.0%)
1393,100987,Revenda NFeMais - Plano Básico,Diferença Valor (66.3%)
1394,100989,NFeMais - Plano Básico,Diferença Valor (45.8%)
1395,100987,Revenda NFeMais - Plano Ilimitado,Diferença Valor (51.8%)
1411,100803,eGestor 4 - Módulo NFe,URL Contrato Ausente | Diferença Valor (44.9%)
1415,100998,eGestor 4 - Plano Padrão,Diferença Valor (35.5%)
1420,100999,eGestor 4 - Módulo MDFe,Diferença Valor (50.1%)
1422,101001,NFeMais - Plano Básico,URL Contrato Ausente
